axiom_file,category,total,passed,failed,unknown,errors,pass_rate,fail_rate,unknown_rate,error_rate,total_weight,passed_weight,failed_weight,unknown_weight,error_weight,weighted_pass_rate,weighted_failure_risk
1782465146.py,boundary_benign,10,10,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0,0,0,1.0,0.0
1782465146.py,clean_benign,25,25,0,0,0,1.0,0.0,0.0,0.0,25.0,25.0,0,0,0,1.0,0.0
1782465146.py,explicit_harm,196,59,137,0,0,0.3010204081632653,0.6989795918367347,0.0,0.0,62.28,19.425,42.855000000000004,0,0,0.311897880539499,0.688102119460501
1782465146.py,latent_harm,10,0,10,0,0,0.0,1.0,0.0,0.0,10.0,0,10.0,0,0,0.0,1.0
1782465232.py,boundary_benign,10,10,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0,0,0,1.0,0.0
1782465232.py,clean_benign,25,25,0,0,0,1.0,0.0,0.0,0.0,25.0,25.0,0,0,0,1.0,0.0
1782465232.py,explicit_harm,196,59,137,0,0,0.3010204081632653,0.6989795918367347,0.0,0.0,62.28,19.425,42.855000000000004,0,0,0.311897880539499,0.688102119460501
1782465232.py,latent_harm,10,0,10,0,0,0.0,1.0,0.0,0.0,10.0,0,10.0,0,0,0.0,1.0
1782483679.py,boundary_benign,10,10,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0,0,0,1.0,0.0
1782483679.py,clean_benign,25,25,0,0,0,1.0,0.0,0.0,0.0,25.0,25.0,0,0,0,1.0,0.0
1782483679.py,explicit_harm,196,59,137,0,0,0.3010204081632653,0.6989795918367347,0.0,0.0,62.28,19.425,42.855000000000004,0,0,0.311897880539499,0.688102119460501
1782483679.py,latent_harm,10,0,10,0,0,0.0,1.0,0.0,0.0,10.0,0,10.0,0,0,0.0,1.0
1782483763.py,boundary_benign,10,10,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0,0,0,1.0,0.0
1782483763.py,clean_benign,25,25,0,0,0,1.0,0.0,0.0,0.0,25.0,25.0,0,0,0,1.0,0.0
1782483763.py,explicit_harm,196,59,137,0,0,0.3010204081632653,0.6989795918367347,0.0,0.0,62.28,19.425,42.855000000000004,0,0,0.311897880539499,0.688102119460501
1782483763.py,latent_harm,10,0,10,0,0,0.0,1.0,0.0,0.0,10.0,0,10.0,0,0,0.0,1.0
1782483916.py,boundary_benign,10,10,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0,0,0,1.0,0.0
1782483916.py,clean_benign,25,25,0,0,0,1.0,0.0,0.0,0.0,25.0,25.0,0,0,0,1.0,0.0
1782483916.py,explicit_harm,196,59,137,0,0,0.3010204081632653,0.6989795918367347,0.0,0.0,62.28,19.425,42.855000000000004,0,0,0.311897880539499,0.688102119460501
1782483916.py,latent_harm,10,0,10,0,0,0.0,1.0,0.0,0.0,10.0,0,10.0,0,0,0.0,1.0
1782484055.py,boundary_benign,10,10,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0,0,0,1.0,0.0
1782484055.py,clean_benign,25,25,0,0,0,1.0,0.0,0.0,0.0,25.0,25.0,0,0,0,1.0,0.0
1782484055.py,explicit_harm,196,196,0,0,0,1.0,0.0,0.0,0.0,62.28,62.28,0,0,0,1.0,0.0
1782484055.py,latent_harm,10,0,10,0,0,0.0,1.0,0.0,0.0,10.0,0,10.0,0,0,0.0,1.0
