axiom_file,iteration,difficulty,total,passed,failed,errors,unknown,accuracy,benign_total,benign_passed,benign_failed,benign_errors,benign_pass_rate,benign_precision,benign_recall,benign_f1,harm_total,harm_passed,harm_failed,harm_errors,harm_pass_rate,harm_precision,harm_recall,harm_f1,macro_precision,macro_recall,macro_f1
1783280209.py,1783280209,all,60,50,10,0,0,0.8333333333333334,30,30,0,0,1.0,0.75,1.0,0.8571428571428571,30,20,10,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.875,0.8333333333333333,0.8285714285714285
1783280209.py,1783280209,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783280209.py,1783280209,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783280209.py,1783280209,3,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783280209.py,1783280209,4,12,8,4,0,0,0.6666666666666666,6,6,0,0,1.0,0.6,1.0,0.7499999999999999,6,2,4,0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.8,0.6666666666666666,0.625
1783280209.py,1783280209,5,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783360615.py,1783360615,all,60,50,10,0,0,0.8333333333333334,30,30,0,0,1.0,0.75,1.0,0.8571428571428571,30,20,10,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.875,0.8333333333333333,0.8285714285714285
1783360615.py,1783360615,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783360615.py,1783360615,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783360615.py,1783360615,3,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783360615.py,1783360615,4,12,8,4,0,0,0.6666666666666666,6,6,0,0,1.0,0.6,1.0,0.7499999999999999,6,2,4,0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.8,0.6666666666666666,0.625
1783360615.py,1783360615,5,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783362089.py,1783362089,all,60,50,10,0,0,0.8333333333333334,30,30,0,0,1.0,0.75,1.0,0.8571428571428571,30,20,10,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.875,0.8333333333333333,0.8285714285714285
1783362089.py,1783362089,1,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783362089.py,1783362089,2,12,12,0,0,0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1783362089.py,1783362089,3,12,9,3,0,0,0.75,6,6,0,0,1.0,0.6666666666666666,1.0,0.8,6,3,3,0,0.5,1.0,0.5,0.6666666666666666,0.8333333333333333,0.75,0.7333333333333334
1783362089.py,1783362089,4,12,8,4,0,0,0.6666666666666666,6,6,0,0,1.0,0.6,1.0,0.7499999999999999,6,2,4,0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.8,0.6666666666666666,0.625
