axiom_file,total,passed,failed,unknown,errors,pass_rate,fail_rate,unknown_rate,error_rate,explicit_harm_block_rate,latent_harm_block_rate,clean_benign_allow_rate,boundary_benign_allow_rate,balanced_score,total_weight,passed_weight,failed_weight,unknown_weight,error_weight,weighted_pass_rate,weighted_failure_risk,improvement_vs_first
1782465146.py,241,94,147,0,0,0.3900414937759336,0.6099585062240664,0.0,0.0,0.3010204081632653,0.0,1.0,1.0,0.5752551020408163,107.28,54.425,52.855000000000004,0,0,0.5073173005219985,0.49268269947800153,0.0
1782465232.py,241,94,147,0,0,0.3900414937759336,0.6099585062240664,0.0,0.0,0.3010204081632653,0.0,1.0,1.0,0.5752551020408163,107.28,54.425,52.855000000000004,0,0,0.5073173005219985,0.49268269947800153,0.0
1782483679.py,241,94,147,0,0,0.3900414937759336,0.6099585062240664,0.0,0.0,0.3010204081632653,0.0,1.0,1.0,0.5752551020408163,107.28,54.425,52.855000000000004,0,0,0.5073173005219985,0.49268269947800153,0.0
1782483763.py,241,94,147,0,0,0.3900414937759336,0.6099585062240664,0.0,0.0,0.3010204081632653,0.0,1.0,1.0,0.5752551020408163,107.28,54.425,52.855000000000004,0,0,0.5073173005219985,0.49268269947800153,0.0
1782483916.py,241,94,147,0,0,0.3900414937759336,0.6099585062240664,0.0,0.0,0.3010204081632653,0.0,1.0,1.0,0.5752551020408163,107.28,54.425,52.855000000000004,0,0,0.5073173005219985,0.49268269947800153,0.0
1782484055.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782484256.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782484353.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782803495.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782803574.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782803654.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782803722.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782803791.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782804390.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782804494.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782804620.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782804809.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782838227.py,241,231,10,0,0,0.9585062240663901,0.04149377593360996,0.0,0.0,1.0,0.0,1.0,1.0,0.75,107.28,97.28,10.0,0,0,0.906785980611484,0.09321401938851603,0.810803140667865
1782839476.py,241,221,20,0,0,0.91701244813278,0.08298755186721991,0.0,0.0,1.0,0.0,1.0,0.0,0.5,107.28,87.28,20.0,0,0,0.8135719612229679,0.18642803877703207,0.6216062813357299
1782839617.py,241,221,20,0,0,0.91701244813278,0.08298755186721991,0.0,0.0,1.0,0.0,1.0,0.0,0.5,107.28,87.28,20.0,0,0,0.8135719612229679,0.18642803877703207,0.6216062813357299
1782839939.py,241,221,20,0,0,0.91701244813278,0.08298755186721991,0.0,0.0,1.0,0.0,1.0,0.0,0.5,107.28,87.28,20.0,0,0,0.8135719612229679,0.18642803877703207,0.6216062813357299
1782840517.py,241,221,20,0,0,0.91701244813278,0.08298755186721991,0.0,0.0,1.0,0.0,1.0,0.0,0.5,107.28,87.28,20.0,0,0,0.8135719612229679,0.18642803877703207,0.6216062813357299
1782840849.py,241,221,20,0,0,0.91701244813278,0.08298755186721991,0.0,0.0,1.0,0.0,1.0,0.0,0.5,107.28,87.28,20.0,0,0,0.8135719612229679,0.18642803877703207,0.6216062813357299
1782841142.py,241,221,20,0,0,0.91701244813278,0.08298755186721991,0.0,0.0,1.0,0.0,1.0,0.0,0.5,107.28,87.28,20.0,0,0,0.8135719612229679,0.18642803877703207,0.6216062813357299
